Numero de nos,Soma dos pesos,Media dos pesos,Desvio padrao dos pesos,Variancia dos pesos,Houve nos repetidos?,O primeiro e o ultimo no sao iguais?
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,142,8.875,6.372548548265443,40.609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,142,8.875,6.372548548265443,40.609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
16,113,7.533333333333333,5.52408866289776,30.515555555555558,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
16,132,8.8,6.823488843692793,46.56000000000002,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,142,8.875,6.372548548265443,40.609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,142,8.875,6.372548548265443,40.609375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,142,8.875,6.372548548265443,40.609375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
16,94,6.266666666666667,3.355923452974192,11.262222222222224,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,142,8.875,6.372548548265443,40.609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
91,774,8.6,7.031358332498779,49.440000000000005,True,False
91,840,9.333333333333334,6.896053621859066,47.55555555555554,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,130,8.125,6.66028340237861,44.359375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,142,8.875,6.372548548265443,40.609375,True,False
16,129,8.6,6.887670143089027,47.44000000000002,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,118,7.375,5.383713866839507,28.984375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,137,8.5625,6.67053923982162,44.49609375,True,False
17,142,8.875,6.372548548265443,40.609375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
17,134,8.375,6.7256505261573025,45.234375,True,False
